id_tempat_wisata;Nama_Tempat_Wisata;jenis_wisata;Deskripsi ;url_gambar
15;Ranu Manduro;Alam;Danau alami dengan latar belakang pegunungan, menawarkan suasana tenang dan pemandangan yang fotogenik.;https://img.okezone.com/content/2020/02/26/406/2174256/rute-menuju-ranu-manduro-destinasi-wisata-viral-di-mojokerto-dN87ebHDkI.jpg
16;Wisata Air Balekambang;Alam;Tempat wisata air yang menawarkan kolam renang dan wahana bermain untuk keluarga.;https://www.balioh.com/wp-content/uploads/2023/05/wisata-air-balekambang-kolam-renang-1024x696.jpg
17;Pemandian Ubaian;Alam;Pemandian alami dengan air jernih yang bersumber dari mata air pegunungan.;https://pariwisata.mojokertokab.go.id/storage/79SOEQGkXXvnSzrYvw3sqAhxM0LU1c-metaVWJhbGFuLVdhdGVycGFyay1QYWNldC4uLmpwZy53ZWJw-.webp
18;Petilasan Panggung;Budaya;Situs bersejarah yang dipercaya sebagai tempat persinggahan Raja Majapahit.;https://awsimages.detik.net.id/community/media/visual/2018/11/22/b347ce60-2f3b-4891-a54d-e5310e94f127.jpeg?w=600&q=90
19;Wisata Waduk Tanjungan;Alam;Waduk besar yang digunakan untuk irigasi dan rekreasi. Tempat ini cocok untuk piknik dan memancing.;https://assets-a1.kompasiana.com/items/album/2021/04/30/photopictureresizer-200201-172648493-810x455-608baeac8ede4843340a8783.jpg
20;Air Terjun Dlundung;Alam;Air terjun populer dengan fasilitas yang lengkap untuk wisata keluarga dan camping.;https://static.promediateknologi.id/crop/0x404:1080x1148/0x0/webp/photo/p2/74/2024/04/29/Screenshot_2024-04-29-09-45-12-231_cominstagramandroid-139239032.jpg
21;Candi Kedaton;Budaya;Reruntuhan candi yang menawarkan pemandangan indah dan wawasan sejarah kuno.;https://www.yad.or.id/wp-content/uploads/2014/01/kompleks-candi-muaro-jambi-2.jpeg
22;Pendopo Agung Trowulan;Budaya;Pendopo yang digunakan sebagai pusat budaya dan tempat pertemuan tradisional.;https://beritajatim.com/cdn-cgi/image/width=1020,height=574,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/2023/11/20231110_063411_8FYm9AmL0O_uZZYGTFz51_dtHhS35e1H.jpeg
23;Claket Adventure Park;Alam;Taman wisata dengan berbagai aktivitas outdoor seperti flying fox dan trekking.;https://yawisata.com/wp-content/uploads/2023/12/claket-adventure-park.webp
24;Candi Bangkal;Budaya;Candi kecil dengan nilai sejarah yang penting, terletak di tengah-tengah pedesaan yang asri.;https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/803/2023/10/08/FotoJet-bangkal-15044152.jpg
25;Museum Gubug Wayang;Budaya;Museum yang menampilkan berbagai koleksi wayang, termasuk wayang kulit dan wayang golek.;https://beritamadani.co.id/wp-content/uploads/2022/10/gubukwayang1-1024x570.jpeg
26;Siti Inggil Cemetery;Budaya;Kompleks makam kuno yang dikelilingi oleh pohon besar dan memiliki suasana sakral.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEimNGEG9QlECuuHLkzeg05SMezRJdg6W6VkRnKvNC4kiizu12gf_t33G5iYU6_jSy5twHDM29BZUdXuS8qp6Z6ZSsEBh-bai4UXSLFgQnSN4u3VbhB1f1VuympUGAPSsWIroRe5rRjkjrkcolumA-L6wCVHBLfxavuiQD_TXkFqc2XjHoByfD7VdbSk/s1632/IMG_20220507_115059.jpg
27;Air Terjun Coban Canggu;Alam;Air terjun yang menawarkan pengalaman menyegarkan dengan akses yang cukup mudah.;https://cdn1-production-images-kly.akamaized.net/SWS7Piau96tDa56xT2rf2JkvVKc=/1200x900/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3038570/original/041764600_1580544063-creek-1839924_1920.jpg
